Date received,Product,Sub-product,Consumer complaint narrative,Company public response,Company,State,ZIP code,Submitted via,Company response to consumer,Timely response?,Consumer disputed?
7/12/2013,Credit reporting,,,,Experian Information Solutions Inc.,FL,32174,Web,Closed with non-monetary relief,Yes,Yes
3/4/2017,Debt collection,Credit card,,,"ONEMAIN FINANCIAL HOLDINGS, LLC.",NC,27597,Web,Closed with explanation,Yes,No
9/29/2016,Credit reporting,,On the credit report equifax there is a name listed there that I have never seen i do n't know who that belongs too and must be fixed,,"EQUIFAX, INC.",NC,,Web,Closed with explanation,Yes,No
4/17/2017,Bank account or service,Checking account,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,11221,Referral,Closed with explanation,Yes,No
6/16/2016,Mortgage,Other mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,33311,Referral,Closed with explanation,Yes,No
7/17/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,PA,19120,Fax,Closed with explanation,Yes,N/A
11/22/2014,Bank account or service,Checking account,,,JPMORGAN CHASE & CO.,TX,77065,Web,Closed with explanation,Yes,No
2/10/2015,Money transfers,Domestic (US) money transfer,,,MONEYGRAM PAYMENT SYSTEMS WORLDWIDE INC,MI,49022,Web,Closed with monetary relief,Yes,No
1/20/2015,Mortgage,Conventional adjustable mortgage (ARM),,,NATIONSTAR MORTGAGE,DE,19901,Web,Closed with explanation,Yes,No
8/15/2018,"Money transfer, virtual currency, or money service",Mobile or digital wallet,,,"CCI Financial, Inc",CA,932XX,Web,Closed with explanation,Yes,N/A
1/29/2017,Credit reporting,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,FL,32003,Web,Closed with non-monetary relief,Yes,No
11/18/2014,Debt collection,Payday loan,,,Solidus Group LLC.,MD,21213,Phone,Closed with explanation,Yes,No
